::1 - - [24/Aug/2025:00:27:06 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
::1 - - [24/Aug/2025:00:27:11 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
::1 - - [24/Aug/2025:00:27:41 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
::1 - - [24/Aug/2025:00:28:11 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
::1 - - [24/Aug/2025:00:32:40 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
::1 - - [24/Aug/2025:00:32:45 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
::1 - - [24/Aug/2025:00:33:15 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
::1 - - [24/Aug/2025:00:33:45 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
::1 - - [24/Aug/2025:00:34:15 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
::1 - - [24/Aug/2025:00:34:45 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
::1 - - [24/Aug/2025:00:35:16 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
::1 - - [24/Aug/2025:00:35:46 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
::1 - - [24/Aug/2025:00:36:16 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
::1 - - [24/Aug/2025:00:36:46 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
172.18.0.1 - - [24/Aug/2025:00:37:14 +0000] "GET / HTTP/1.1" 200 615 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "-"
172.18.0.1 - - [24/Aug/2025:00:37:14 +0000] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "-"
172.18.0.1 - - [24/Aug/2025:00:37:14 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "-"
::1 - - [24/Aug/2025:00:37:16 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
::1 - - [24/Aug/2025:00:37:46 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
::1 - - [24/Aug/2025:00:38:16 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
::1 - - [24/Aug/2025:00:38:46 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
::1 - - [24/Aug/2025:00:39:16 +0000] "GET /health HTTP/1.1" 404 153 "-" "HealthCheck/1.0" "-"
172.18.0.1 - - [24/Aug/2025:00:39:40 +0000] "GET / HTTP/1.1" 200 615 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "-"
